PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Jason Huntley,2563938,RB,FA,,,,,,,,,,,,,,,,,,,,,,155,0.00
Alec Ingold,2562288,RB,LV,,,,,,,,,,,,11.20,,,,,1,,,,,156,0.00
Deon Jackson,2565603,RB,IND,,,,,,,,,,,,10.10,,,,,,,,,,157,0.00
Josh Jacobs,2562377,RB,LV,,,,,,,,,,,,11.20,,,,,,,,,,158,0.00
Jermar Jefferson,2566058,RB,DET,,,,,,,,,,,,17.60,,,,,,,,,,159,0.00
D'Ernest Johnson,2563327,RB,CLE,,,,,,,,,,,,41.70,,,,,,,,,,160,0.00
Duke Johnson,2552461,RB,FA,,,,,,,,,,,,,,,,,,,,,,161,0.00
Jakob Johnson,2562890,RB,NE,,,,,,,,,,,,28.70,,,,,,,,,,162,0.00
Kerryon Johnson,2560765,RB,FA,,,,,,,,,,,,,,,,,,,,,,163,0.00
Xavier Jones,2564364,RB,LA,,,,,,,,,,,,20.30,,,,,,,,,,164,0.00
Joshua Kelley,2565054,RB,LAC,,,,,,,,,,,,22.50,,,,,,,,,,165,0.00
John Kelly,2560777,RB,CLE,,,,,,,,,,,,41.70,,,,,,,,,,166,0.00
Adrian Killins Jr.,2564841,RB,DEN,,,,,,,,,,,,15.80,,,,,,,,,,167,0.00
Patrick Laird,2563296,RB,MIA,,,,,,,,,,,,12.10,,,,,,,,,,168,0.00
Benny LeMay,2563794,RB,FA,,,,,,,,,,,,,,,,,,,,,,169,0.00
Dion Lewis,2495469,RB,FA,,,,,,,,,,,,,,,,,,,,,,170,0.00
Ben Mason,2565845,RB,FA,,,,,,,,,,,,,,,,,,,,,,171,0.00
LeSean McCoy,79607,RB,FA,,,,,,,,,,,,,,,,,,,,,,172,0.00
Nate McCrary,2566617,RB,FA,,,,,,,,,,,,,,,,,,,,,,173,0.00
Anthony McFarland,2564994,RB,PIT,,,,,,,,,,,,16.70,,,,,,,,,,174,0.00
Elijah McGuire,2557934,RB,FA,,,,,,,,,,,,,,,,,,,,,,175,0.00
Lamar Miller,2533034,RB,FA,,,,,,,,,,,,,,,,,,,,,,176,0.00
Dedrick Mills,2566905,RB,FA,,,,,,,,,,,,,,,,,,,,,,177,0.00
Taquan Mizzell,2558975,RB,FA,,,,,,,,,,,,,,,,,,,,,,178,0.00
Alfred Morris,2533457,RB,FA,,,,,,,,,,,,,,,,,,,,,,179,0.00
Raheem Mostert,2553728,RB,SF,,,,,,,,,,,,19.30,,,,,,,,,,180,0.00
Khalfani Muhammad,2558861,RB,FA,,,,,,,,,,,,,,,,,,,,,,181,0.00
Ryan Nall,2560817,RB,CHI,,,,,,,,,,,,11.60,,,,,,,,,,182,0.00
Kene Nwangwu,2566313,RB,MIN,,,,,,,,,,,,19.10,,,,,,,,,,183,0.00
Dare Ogunbowale,2559362,RB,JAX,,,,,,,,,,,,8.60,,,,,,,,,,184,0.00
Qadree Ollison,2562797,RB,FA,,,,,,,,,,,,,,,,,,,,,,185,0.00
Sewo Olonilua,2563857,RB,DAL,,,,,,,,,,,,39.90,,,,,,,,,,186,0.00
Devine Ozigbo,2562409,RB,JAX,,,,,,,,,,,,8.60,,,,,,,,,,187,0.00
Jacques Patrick,2563737,RB,FA,,,,,,,,,,,,,,,,,,,,,,188,0.00
Jaret Patterson,2567160,RB,WAS,,,,,,,,,,,,26.10,,,,,,,,,,189,0.00
Rashaad Penny,2560835,RB,SEA,,,,,,,,,,,,28.40,,,,,,,,,,190,0.00
La'Mical Perine,2564808,RB,NYJ,,,,,,,,,,,,17.20,,,,,,,,,,191,0.00
Samaje Perine,2558138,RB,CIN,,,,,,,,,,,,10.30,,,,,1,,,,,192,0.00
Malcolm Perry,2564484,RB,NE,,,,,,,,,,,,28.70,,,,,,,,,,193,0.00
Senorise Perry,2550633,RB,FA,,,,,,,,,,,,,,,,,,,,,,194,0.00
Adrian Peterson,2507164,RB,FA,,,,,,,,,,,,,,,,,,,,,,195,0.00
Scottie Phillips,2564085,RB,HOU,,,,,,,,,,,,19.10,,,,,,,,,,196,0.00
Artavis Pierce,2565417,RB,FA,,,,,,,,,,,,,,,,,,,,,,197,0.00
Sandro Platzgummer,2565523,RB,FA,,,,,,,,,,,,,,,,,,,,,,198,0.00
C.J. Prosise,2555417,RB,FA,,,,,,,,,,,,,,,,,,,,,,199,0.00
Trey Ragas,2565654,RB,FA,,,,,,,,,,,,,,,,,,,,,,200,0.00
Craig Reynolds,2562834,RB,FA,,,,,,,,,,,,,,,,,,,,,,201,0.00
Jalen Richard,2556885,RB,LV,,,,,,,,,,,,11.20,,,,,,,,,,202,0.00
Theo Riddick,2540020,RB,FA,,,,,,,,,,,,,,,,,,,,,,203,0.00
Jaylen Samuels,2560862,RB,FA,,,,,,,,,,,,,,,,,,,,,,204,0.00
Mekhi Sargent,2566962,RB,FA,,,,,,,,,,,,,,,,,,,,,,205,0.00
Jordan Scarlett,2562725,RB,FA,,,,,,,,,,,,,,,,,,,,,,206,0.00
Boston Scott,2561146,RB,PHI,,,,,,,,,,,,12.60,,,,,,,,,,207,0.00
Stevie Scott III,2565705,RB,FA,,,,,,,,,,,,,,,,,,,,,,208,0.00
Anthony Sherman,2495340,RB,FA,,,,,,,,,,,,,,,,,,,,,,209,0.00
Ito Smith,2559924,RB,FA,,,,,,,,,,,,,,,,,,,,,,210,0.00
Rodney Smith,2563680,RB,FA,,,,,,,,,,,,,,,,,,,,,,211,0.00
Johnny Stanton,2561489,RB,FA,,,,,,,,,,,,,,,,,,,,,,212,0.00
Rhamondre Stevenson,2566343,RB,NE,,,,,,,,,,,,28.70,,,,,,,,,,213,0.00
Mason Stokke,2565579,RB,FA,,,,,,,,,,,,,,,,,,,,,,214,0.00
Patrick Taylor,2564040,RB,FA,,,,,,,,,,,,,,,,,,,,,,215,0.00
Chris Thompson,2540011,RB,FA,,,,,,,,,,,,,,,,,,,,,,216,0.00
Darwin Thompson,2562832,RB,FA,,,,,,,,,,,,,,,,,,,,,,217,0.00
Ke'Shawn Vaughn,2565258,RB,TB,,,,,,,,,,,,14.30,,,,,,,,,,218,0.00
Danny Vitale,2555218,RB,FA,,,,,,,,,,,,,,,,,,,,,,219,0.00
Christian Wade,2562896,RB,BUF,,,,,,,,,,,,29.50,,,,,,,,,,220,0.00
Austin Walter,2563138,RB,FA,,,,,,,,,,,,,,,,,,,,,,221,0.00
Jonathan Ward,2564949,RB,ARI,,,,,,,,,,,,12.60,,,,,,,,,,222,0.00
DeAndre Washington,2555464,RB,FA,,,,,,,,,,,,,,,,,,,,,,223,0.00
Derek Watt,2555220,RB,PIT,,,,,,,,,,,,16.70,,,,,,,,,,224,0.00
Mike Weber,2562775,RB,FA,,,,,,,,,,,,,,,,,,,,,,225,0.00
Jordan Wilkins,2560933,RB,FA,,,,,,,,,,,,,,,,,,,,,,226,0.00
Antonio Williams,2565393,RB,FA,,,,,,,,,,,,,,,,,,,,,,227,0.00
Dexter Williams,2562784,RB,FA,,,,,,,,,,,,,,,,,,,,,,228,0.00
Jonathan Williams,2555227,RB,FA,,,,,,,,,,,,,,,,,,,,,,229,0.00
Pooka Williams Jr.,2566788,RB,FA,,,,,,,,,,,,,,,,,,,,,,230,0.00
Trayveon Williams,2562600,RB,FA,,,,,,,,,,,,,,,,,,,,,,231,0.00
Jeff Wilson,2560938,RB,SF,,,,,,,,,,,,19.30,,,,,,,,,,232,0.00
T.J. Yeldon,2552471,RB,FA,,,,,,,,,,,,,,,,,,,,,,233,0.00
